uri,frequency
3FPUFltTjg6ClUL2wr9ux6,7
4X283dKwcjIqJiOCV1dMBJ,9
6tF92PMv01Ug9Dh8Rmy6nH,2
2ekn2ttSfGqwhhate0LSR0,5
73B1hH8CzvGGq4hnEvmPTl,6
4LihUZcWy0B6lGLqcJ8u9B,4
3H1LCvO3fVsK2HPguhbml0,3
4X3FiBn7cd88I3MVtph9By,3
7tAXHZdp9UpcYrHn7MZqfo,8
55h7vJchibLdUkxdlX3fK7,1
62cYasTwBy6Y7pstdSTmHu,2
1FKxKGONukVFXWVJxAKmlz,8
2wLMMcXV6sRtLijfLZP9oR,6
7cioKB5CHVzk09SOtTyn0T,9
1WkMMavIMc4JZ8cfMmxHkI,5
6JV2JOEocMgcZxYSZelKcc,8
0ZXia0LUmj7r0CK5YOWdTu,3
7hXNGEIMOrqmlXANA69cZQ,5
64Tp4KN5U5rtqrasP5a7FH,10
4lLtanYk6tkMvooU0tWzG8,2
2tJulUYLDKOg9XrtVkMgcJ,6
1z5jOmNswvnzjC5gFLu5Dv,9
3G5iN5QBqMeXx3uZPy8tgB,9
7cvkXf3AwPGT041PyOi5VX,5
4YLtrBhzjsI2LT6ybXQHeD,2
0mDGNetRxywxqgiXFbagZh,9
47Slg6LuqLaX0VodpSCvPt,1
7BqBn9nzAq8spo5e7cZ0dJ,6
0mIAWTIXUP9Os5RBXKclO6,3
5lgS45xqkTk2HVm7Jph9ya,1
7EdEUnekGCkChJzJyGp6TB,6
1uXbwHHfgsXcUKfSZw5ZJ0,5
6oVGIxnuwcwZspPEYk2Yb3,5
7kJlTKjNZVT26iwiDUVhRm,2
3oNx6aXliXRmJgw8rcqNtc,1
3JdDBUiZ1UJv7J7RQqxEFF,6
6b8Be6ljOzmkOmFslEb23P,6
2gFvRmQiWg9fN9i74Q0aiw,1
4eWQlBRaTjPPUlzacqEeoQ,3
3aLG1AYS6FqEcjpKTJFJMt,10
